AirlineID	Name	IATA	ICAO	Country
462	Astrakhan Airlines	OB	ASZ	Russia
465	Air Tanzania	TC	ATC	Tanzania
470	Air Burkina	2J	VBW	Burkina Faso
476	Airlines Of Tasmania	FO	ATM	Australia
477	Air Saint Pierre	PJ	SPM	France
491	Austrian Airlines	OS	AUA	Austria
493	Augsburg Airways	IQ	AUB	Germany
502	Abu Dhabi Amiri Flight	MO	AUH	United Arab Emirates
503	Aeroflot-Nord	5N	AUL	Russia
508	Aurigny Air Services	GR	AUR	United Kingdom
510	Austral Lineas Aereas	AU	AUT	Argentina
515	Avianca - Aerovias Nacionales de Colombia	AV	AVA	AVIANCA
524	Air Vanuatu	NF	AVN	Vanuatu
543	Air Bangladesh	B9	BGD	Bangladesh
547	Air Mediterranee	DR	BIE	France
563	Aeroline GmbH	7E	AWU	Germany
565	Air Wales	6G	AWW	United Kingdom
567	Air Caraïbes	TX	FWI	France
569	Air India Express	IX	AXB	India
575	Air Exel	XT	AXL	Netherlands
576	AirAsia	AK	AXM	Malaysia
595	Atlant-Soyuz Airlines	3G	AYZ	Russia
596	Alitalia	AZ	AZA	Italy
603	Amaszonas	Z8	AZN	Bolivia
608	Air Zimbabwe	UM	AZW	Zimbabwe
622	Aserca Airlines	R7	OCA	Venezuela
641	Rossiya-Russian Airlines	FV	SDM	Russia
659	American Eagle Airlines	MQ	EGF	United States
682	Air Ivoire	VU	VUN	Ivory Coast
683	Air Botswana	BP	BOT	Botswana
690	Air Foyle	GS	UPA	United Kingdom
692	Air Tahiti	VT	VTA	French Polynesia
695	Air VIA	VL	VIM	Bulgaria
715	Africa West	FK	WTA	Togo
724	ATRAN Cargo Airlines	V8	VAS	Russian Federation
751	Air China	CA	CCA	China
753	Aero Condor Peru	Q6	CDP	Peru
787	Air Chathams	CV	CVA	New Zealand
788	Air Marshall Islands	CW	CWM	Marshall Islands
792	Access Air	ZA	CYD	United States
794	Air Algerie	AH	DAH	Algeria
800	Adam Air	KI	DHI	Indonesia
807	Air Dolomiti	EN	DLA	Italy
816	Aeroflot-Don	D9	DNV	Russia
817	Air Madrid	NM	DRD	Spain
837	Aer Lingus	EI	EIN	Ireland
876	Air Finland	OF	FIF	Finland
879	Air Pacific	FJ	FJI	Fiji
881	Atlantic Airways	RC	FLI	Faroe Islands
882	Air Florida	QH	FLZ	United States
896	Air Iceland	NY	FXI	Iceland
897	Air Philippines	2P	GAP	Philippines
909	Air Guinee Express	2U	GIP	Guinea
921	Air Greenland	GL	GRL	Denmark
928	Atlas Air	5Y	GTI	United States
931	Air Guyane	GG	GUY	French Guiana
970	Air Bagan	W9	JAB	Myanmar
983	Air Canada Jazz	QK	JZA	Canada
995	Atlasjet	KK	KKK	Turkey
998	Air Koryo	JS	KOR	Democratic People's Republic of Korea
1006	Air Astana	KC	KZR	Kazakhstan
1008	Albanian Airlines	LV	LBC	Albania
1034	Aerolane	XL	LNE	Ecuador
1048	Atlantis European Airways	TD	LUR	Armenia
1052	Air Luxor	LK	LXR	Portugal
1057	Air Mauritius	MK	MAU	Mauritius
1066	Air Madagascar	MD	MDG	Madagascar
1073	Air Moldova	9U	MLD	Moldova
1087	Air Plus Comet	A7	MPD	Spain
1116	Aero Contractors	AJ	NIG	Nigeria
1143	Aeropelican Air Services	OT	PEL	Australia
1188	Aer Arann	RE	REA	Ireland
1191	Air Austral	UU	REU	France
1200	Asian Spirit	6K	RIT	Philippines
1202	Air Afrique	RK	RKA	Ivory Coast
1203	Airlinair	A5	RLA	France
1206	Aero Lanka	QL	RLN	Sri Lanka
1213	Air Salone	20	RNE	Sierra Leone
1216	Armavia	U8	RNV	Armenia
1224	AeroRep	P5	RPB	Colombia
1230	Aero-Service	BF	RSR	Republic of the Congo
1231	Aerosur	5L	RSU	Bolivia
1266	Avient Aviation	Z3	SMJ	Zimbabwe
1287	Aircompany Yakutia	R3	SYL	Russia
1290	Aeromar	VW	TAO	Mexico
1299	Arkefly	OR	TFL	Netherlands
1308	Airlines PNG	CG	TOK	Papua New Guinea
1316	AirTran Airways	FL	TRS	United States
1317	Air Transat	TS	TSC	Canada
1322	Avialeasing Aviation Company	EC	TWN	Uzbekistan
1326	Tyrolean Airways	VO	TYR	Austria
1338	Aerolineas Galapagos (Aerogal)	2K	GLG	Ecuador
1340	Alrosa Mirny Air Enterprise	6R	DRU	Russia
1355	British Airways	BA	BAW	United Kingdom
1359	Biman Bangladesh Airlines	BG	BBC	Bangladesh
1401	Belair Airlines	4T	BHP	Switzerland
1403	Bahamasair	UP	BHS	Bahamas
1411	British International Helicopters	BS	BIH	United Kingdom
1422	Bangkok Airways	PG	BKP	Thailand
1427	Blue1	KF	BLF	Finland
1434	Bearskin Lake Air Service	JV	BLS	Canada
1436	Bellview Airlines	B3	BLV	Nigeria
1437	bmi	BD	BMA	United Kingdom
1441	bmibaby	WW	BMI	United Kingdom
1442	Bemidji Airlines	CH	BMJ	United States
1463	Blue Panorama Airlines	BV	BPA	Italy
1472	Bering Air	8E	BRG	United States
1478	Belavia Belarusian Airlines	B2	BRU	Belarus
1500	Metro Batavia	7P	BTV	Indonesia
1508	Berjaya Air	J8	BVT	Malaysia
1510	Blue Wings	QW	BWG	Germany
1523	Brit Air	DB	BZH	France
1531	Brussels Airlines	SN	DAT	Belgium
1539	Binter Canarias	NT	IBB	Spain
1542	Blue Air	0B	JOR	Romania
1543	British Mediterranean Airways	KJ	LAJ	United Kingdom
1548	Bulgaria Air	FB	LZB	Bulgaria
1550	Barents AirLink	8N	NKF	Sweden
1581	CAL Cargo Air Lines	5C	ICL	Israel
1607	Calima Aviacion	XG	CLI	Spain
1615	Canadian Airlines	CP	CDN	Canada
1623	Canadian North	5T	MPE	Canada
1629	Cape Air	9K	KAP	United States
1663	Caribbean Airlines	BW	BWA	Trinidad and Tobago
1669	Carpatair	V3	KRP	Romania
1675	Caspian Airlines	RV	CPN	Iran
1680	Cathay Pacific	CX	CPA	Hong Kong SAR of China
1682	Cayman Airways	KX	CAY	Cayman Islands
1683	Cebu Pacific	5J	CEB	Philippines
1708	Centralwings	C0	CLW	Poland
1739	Chautauqua Airlines	RP	CHQ	United States
1756	China Airlines	CI	CAL	Taiwan
1758	China Eastern Airlines	MU	CES	China
1767	China Southern Airlines	CZ	CSN	China
1769	China United Airlines	HR	CUA	China
1771	Yunnan Airlines	3Q	CYH	China
1781	Cimber Air	QI	CIM	Denmark
1784	Cirrus Airlines	C9	RUS	Germany
1789	City Airline	CF	SDR	Sweden
1790	City Connexion Airlines	G3	CIX	Burundi
1792	CityJet	WX	BCY	Ireland
1795	BA CityFlyer	CJ	CFE	United Kingdom
1821	Colgan Air	9L	CJC	United States
1828	Comair	OH	COM	United States
1829	Comair	MN	CAW	South Africa
1843	CommutAir	C5	UCA	United States
1844	Comores Airlines	KR	CWK	Comoros
1860	Compass Airlines	CP	CPZ	United States
1868	Condor Flugdienst	DE	CFG	Germany
1876	Consorcio Aviaxsa	6A	CHP	Mexico
1879	Contact Air	C3	KIS	Germany
1881	Continental Airlines	CO	COA	United States
1884	Continental Micronesia	CS	CMI	United States
1886	Conviasa	V0	VCV	Venezuela
1889	Copa Airlines	CM	CMP	Panama
1908	Corsairfly	SS	CRL	France
1909	Corse-Mediterranee	XK	CCM	France
1925	Croatia Airlines	OU	CTN	Croatia
1936	Cubana de Aviación	CU	CUB	Cuba
1942	Cyprus Airways	CY	CYP	Cyprus
1946	Czech Airlines	OK	CSA	Czech Republic
1954	DAT Danish Air Transport	DX	DTR	Denmark
1966	Daallo Airlines	D3	DAO	Djibouti
1973	Dalavia	H8	KHB	Russia
1983	Darwin Airline	0D	DWT	Switzerland
2009	Delta Air Lines	DL	DAL	United States
2041	Djibouti Airlines	D8	DJB	Djibouti
2047	Dominicana de Aviaci	DO	DOA	Dominican Republic
2048	Domodedovo Airlines	E3	DMO	Russia
2051	DonbassAero	5D	UDC	Ukraine
2056	Dragonair	KA	HDA	DRAGON
2058	Druk Air	KB	DRK	Bhutan
2077	dba	DI	BAG	Germany
2091	EVA Air	BR	EVA	Taiwan
2104	East African	QU	UGX	Uganda
2117	Eastern Airways	T3	EZE	United Kingdom
2125	Eastland Air	DK	ELA	Australia
2138	Edelweiss Air	WK	EDW	Switzerland
2143	Egyptair	MS	MSR	Egypt
2150	El Al Israel Airlines	LY	ELY	Israel
2155	El-Buraq Air Transport	UZ	BRQ	Libya
2183	Emirates	EK	UAE	United Arab Emirates
2193	Empresa Ecuatoriana De Aviacion	EU	EEA	Ecuador
2213	Eritrean Airlines	B8	ERT	Eritrea
2218	Estonian Air	OV	ELL	Estonia
2220	Ethiopian Airlines	ET	ETH	Ethiopia
2222	Etihad Airways	EY	ETD	United Arab Emirates
2237	Eurocypria Airlines	UI	ECA	Cyprus
2239	Eurofly Service	GJ	EEU	Italy
2245	Eurolot	K2	ELO	Poland
2251	European Air Express	EA	EAL	Germany
2260	Eurowings	EW	EWG	Germany
2261	Evergreen International Airlines	EZ	EIA	United States
2264	Excel Airways	JN	XLA	United Kingdom
2293	Express One International	EO	LHN	United States
2295	ExpressJet	XE	BTA	United States
2297	easyJet	U2	EZY	United Kingdom
2324	Far Eastern Air Transport	EF	EFA	Taiwan
2350	Finnair	AY	FIN	Finland
2351	Finncomm Airlines	FC	WBA	Finland
2353	Firefly	FY	FFM	Malaysia
2354	First Air	7F	FAB	Canada
2357	First Choice Airways	DP	FCA	United Kingdom
2395	Flightline	B5	FLT	United Kingdom
2404	Florida West International Airways	RF	FWL	United States
2417	AirAsia X	D7	XAX	Malaysia
2418	FlyLal	TE	LIL	Lithuania
2419	FlyNordic	LF	NDC	Sweden
2420	Flybaboo	F7	BBO	Switzerland
2421	Flybe	BE	BEE	United Kingdom
2425	Flyglobespan	B4	GSM	United Kingdom
2439	Formosa Airlines	VY	FOS	Taiwan
2454	Freedom Air	FP	FRE	United States
2468	Frontier Airlines	F9	FFT	United States
2470	Frontier Flying Service	2F	FTA	United States
2486	GB Airways	GT	GBL	United Kingdom
2520	Garuda Indonesia	GA	GIA	Indonesia
2524	Gazpromavia	4G	GZP	Russia
2538	Georgian Airways	A9	TGZ	Georgia
2541	Georgian National Airlines	QB	GFG	Georgia
2547	Germania	ST	GMI	Germany
2548	Germanwings	4U	GWI	Germany
2556	Ghana International Airlines	G0	GHB	Ghana
2575	Go Air	G8	GOW	India
2577	GoJet Airlines	G7	GJS	United States
2581	Gol Transportes Aéreos	G3	GLO	Brazil
2585	Golden Air	DC	GAO	Sweden
2607	Great Lakes Airlines	ZK	GLA	United States
2622	Grupo TACA	TA	TAT	Costa Rica
2638	Gulf Air Bahrain	GF	GBA	Bahrain
2657	Hageland Aviation Services	H6	HAG	United States
2660	Hainan Airlines	HU	CHH	China
2663	Haiti Ambassador Airlines	2T	HAM	Haiti
2674	Hamburg International	4R	HHI	Germany
2681	TUIfly	X3	HLX	Germany
2682	Hapagfly	HF	HLF	Germany
2688	Hawaiian Airlines	HA	HAL	United States
2704	Heli France	8H	HFR	France
2731	Helijet	JB	JBA	Canada
2747	Hellas Jet	T4	HEJ	Greece
2748	Hello	HW	FHE	Switzerland
2750	Helvetic Airways	2L	OAW	Switzerland
2757	Hex'Air	UD	HER	France
2765	Hokkaido International Airlines	HD	ADO	Japan
2773	Hong Kong Airlines	HX	CRK	Hong Kong SAR of China
2774	Hong Kong Express Airways	UO	HKE	Hong Kong SAR of China
2778	Horizon Air	QX	QXE	United States
2782	Horizon Airlines	BN	HZA	Australia
2822	Iberia Airlines	IB	IBE	Spain
2825	Iberworld	TY	IWD	Spain
2826	Ibex Airlines	FW	IBX	Japan
2835	Icelandair	FI	ICE	Iceland
2845	Imair Airlines	IK	ITX	Azerbaijan
2850	IndiGo Airlines	6E	IGO	India
2853	Indian Airlines	IC	IAC	India
2855	Indigo	I9	IBU	United States
2857	Indonesia AirAsia	QZ	AWQ	Indonesia
2858	Indonesian Airlines	IO	IAA	Indonesia
2881	Interair South Africa	D6	ILN	South Africa
2883	Interavia Airlines	ZA	SUW	Russia
2896	Interlink Airlines	ID	ITK	South Africa
2916	Intersky	3L	ISK	Austria
2922	Iran Air	IR	IRA	Iran
2923	Iran Aseman Airlines	EP	IRC	Iran
2926	Iraqi Airways	IA	IAW	Iraq
2942	Cargo Plus Aviation	8L	CGP	United Arab Emirates
2948	Islas Airways	IF	ISW	Spain
2950	Islena De Inversiones	WC	ISV	Honduras
2954	Israir	6H	ISR	Israel
2958	Itek Air	GI	IKA	Kyrgyzstan
2969	JAL Express	JC	JEX	Japan
2970	JALways	JO	JAZ	Japan
2987	Japan Airlines	JL	JAL	Japan
2988	Japan Airlines Domestic	JL	JAL	Japan
2989	Japan Asia Airways	EG	JAA	Japan
2990	Japan Transocean Air	NU	JTA	Japan
2993	Jazeera Airways	J9	JZR	Kuwait
2994	Jeju Air	7C	JJA	Republic of Korea
3000	Jet Airways	9W	JAI	India
3021	Jetstar Asia Airways	3K	JSA	Singapore
3026	Jet2.com	LS	EXS	United Kingdom
3027	Jet4You	8J	JFU	Morocco
3029	JetBlue Airways	B6	JBU	United States
3032	Jetairfly	JF	JAF	Belgium
3052	Jetstar Airways	JQ	JST	Australia
3081	Juneyao Airlines	HO	DKH	China
3087	KD Avia	KD	KNI	Russia
3088	KLM Cityhopper	WA	KLC	Netherlands
3090	KLM Royal Dutch Airlines	KL	KLM	Netherlands
3097	Kam Air	RQ	KMF	Afghanistan
3110	Kavminvodyavia	KV	MVD	Russia
3123	Kenmore Air	M5	KEN	United States
3126	Kenya Airways	KQ	KQA	Kenya
3142	Kingfisher Airlines	IT	KFR	India
3148	Kish Air	Y9	IRK	Iran
3157	Kogalymavia Air Company	7K	KGL	Russia
3163	Korean Air	KE	KAL	Republic of Korea
3168	Krasnojarsky Airlines	7B	KJC	Russia
3175	Kuban Airlines	GW	KIL	Russia
3179	Kuwait Airways	KU	KAC	Kuwait
3180	Kuzu Airlines Cargo	GO	KZU	Turkey
3197	LACSA	LR	LRC	Costa Rica
3200	LAN Airlines	LA	LAN	Chile
3201	LAN Argentina	4M	DSM	Argentina
3204	LAN Express	LU	LXP	Chile
3205	LAN Peru	LP	LPE	Peru
3210	LOT Polish Airlines	LO	LOT	Poland
3211	LTE International Airways	XO	LTE	Spain
3212	LTU Austria	L3	LTO	Austria
3233	Lao Airlines	QV	LAO	Lao Peoples Democratic Republic
3239	Lauda Air	NG	LDA	Austria
3251	Leeward Islands Air Transport	LI	LIA	Antigua and Barbuda
3258	Libyan Arab Airlines	LN	LAA	Libya
3287	Linhas A	LM	LAM	Mozambique
3290	Lion Mentari Airlines	JT	LNI	Indonesia
3319	Luftfahrtgesellschaft Walter	HE	LGW	Germany
3320	Lufthansa	LH	DLH	Germany
3321	Lufthansa Cargo	LH	GEC	Germany
3322	Lufthansa CityLine	CL	CLH	Germany
3326	Lufttransport	L5	LTR	Norway
3329	Luxair	LG	LGL	Luxembourg
3342	L	MJ	LPR	Argentina
3349	MasAir	M7	MAA	Mexico
3350	MAT Macedonian Airlines	IN	MAK	Macedonia
3354	MIAT Mongolian Airlines	OM	MGL	Mongolia
3357	MNG Airlines	MB	MNB	Turkey
3363	Macair Airlines	CC	MCK	Australia
3370	Mahan Air	W5	IRM	Iran
3378	Malaysia Airlines	MH	MAS	Malaysia
3386	Malmö Aviation	TF	SCW	Sweden
3387	Malta Air Charter	R5	MAC	Malta
3389	Malév	MA	MAH	Hungary
3391	Mandala Airlines	RI	MDL	Indonesia
3392	Mandarin Airlines	AE	MDA	Taiwan
3393	Mango	JE	MNO	South Africa
3411	Martinair	MP	MPH	Netherlands
3432	Maxair	8M	MXL	Sweden
3437	Maya Island Air	MW	MYD	Belize
3463	Meridiana	IG	ISS	Italy
3465	Merpati Nusantara Airlines	MZ	MNA	Indonesia
3466	Mesa Airlines	YV	ASH	United States
3467	Mesaba Airlines	XJ	MES	United States
3479	Mexicana de Aviaci	MX	MXA	Mexico
3490	Middle East Airlines	ME	MEA	Lebanon
3494	Midway Airlines	JI	MDW	United States
3497	Midwest Airlines	YX	MEP	United States
3498	Midwest Airlines (Egypt)	MY	MWA	Egypt
3529	Moldavian Airlines	2M	MDV	Moldova
3532	Monarch Airlines	ZB	MON	United Kingdom
3539	Montenegro Airlines	YM	MGX	Montenegro
3545	Moskovia Airlines	3R	GAI	Russia
3547	Motor Sich	M9	MSI	Ukraine
3568	MyTravel Airways	VZ	MYT	United Kingdom
3569	Myanma Airways	UB	UBA	Myanmar
3570	Myanmar Airways International	8M	MMM	Myanmar
3589	Nasair	UE	NAS	Eritrea
3608	National Jet Systems	NC	NJS	Australia
3613	Nationwide Airlines	CE	NTW	South Africa
3618	Nauru Air Corporation	ON	RON	Nauru
3637	Nepal Airlines	RA	RNA	Nepal
3641	NetJets	1I	EJA	United States
3644	New England Airlines	EJ	NEA	United States
3652	NextJet	2N	NTJ	Sweden
3661	Niki	HG	NLY	Austria
3674	Nok Air	DD	NOK	Thailand
3731	Northwest Airlines	NW	NWA	United States
3734	Northwestern Air	J3	PLR	Canada
3737	Norwegian Air Shuttle	DY	NAX	Norway
3740	Nouvel Air Tunisie	BJ	LBT	Tunisia
3743	Novair	1I	NVR	Sweden
3754	Nas Air	XY	KNE	Saudi Arabia
3759	Oasis Hong Kong Airlines	O8	OHK	Hong Kong
3764	Oceanair	O6	ONE	Brazil
3776	Olympic Airlines	OA	OAL	Greece
3778	Oman Air	WY	OMA	Oman
3781	Omni Air International	OY	OAE	United States
3788	Onur Air	8Q	OHY	Turkey
3805	Orenburg Airlines	R2	ORB	Russia
3811	Orient Thai Airlines	OX	OEA	Thailand
3814	Origin Pacific Airways	QO	OGN	New Zealand
3822	Ostfriesische Lufttransport	OL	OLT	Germany
3826	Overland Airways	OJ	OLA	Nigeria
3831	Ozjet Airlines	O7	OZJ	Australia
3834	PAN Air	PV	PNR	Spain
3835	PB Air	9Q	PBA	Thailand
3839	PLUNA	PU	PUA	Uruguay
3840	PMTair	U4	PMT	Cambodia
3850	Jetstar Pacific	BL	PIC	Vietnam
3856	Pacific Coastal Airline	8P	PCO	Canada
3857	Pacific East Asia Cargo Airlines	Q8	PEC	Philippines
3865	Pacific Wings	LW	NMI	United States
3871	Pakistan International Airlines	PK	PIA	Pakistan
3907	Paramount Airways	I7	PMW	India
3926	Pegasus Airlines	PC	PGT	Turkey
3935	Peninsula Airways	KS	PEN	United States
3952	Philippine Airlines	PR	PAL	Philippines
3969	Piedmont Airlines (1948-1989)	PI	PDT	United States
3976	Pinnacle Airlines	9E	FLG	United States
4013	Polynesian Airlines	PH	PAO	Samoa
4021	Porter Airlines	PD	POE	Canada
4022	Portugalia	NI	PGA	Portugal
4026	Potomac Air	BK	PDC	United States
4031	Precision Air	PW	PRF	Tanzania
4089	Qantas	QF	QFA	Australia
4091	Qatar Airways	QR	QTR	Qatar
4178	Regional Express	ZL	RXA	Australia
4187	Republic Airlines	RW	RPA	United States
4188	Republic Express Airlines	RH	RPH	Indonesia
4234	Air Rarotonga	GZ	RAR	Cook Islands
4248	Royal Air Maroc	AT	RAM	Morocco
4255	Royal Brunei Airlines	BI	RBA	Brunei
4259	Royal Jordanian	RJ	RJA	Jordan
4264	Royal Nepal Airlines	RA	RNA	Nepal
4292	Rwandair Express	WB	RWD	Rwanda
4295	Ryan International Airlines	RD	RYN	United States
4296	Ryanair	FR	RYR	Ireland
4299	Régional	YS	RAE	France
4304	SATA International	S4	RZO	Portugal
4305	South African Airways	SA	SAA	South Africa
4311	Shaheen Air International	NL	SAI	Pakistan
4319	Scandinavian Airlines System	SK	SAS	Sweden
4329	S7 Airlines	S7	SBI	Russia
4335	Seaborne Airlines	BB	SBS	United States
4349	SriLankan Airlines	UL	ALK	Sri Lanka
4356	Sun Country Airlines	SY	SCX	United States
4374	Sky Express	G3	SEH	Greece
4375	Spicejet	SG	SEJ	India
4388	Star Flyer	7G	SFJ	Japan
4411	Skagway Air Service	N5	SGY	United States
4429	SATA Air Acores	SP	SAT	Portugal
4435	Singapore Airlines	SQ	SIA	Singapore
4436	Sibaviatrans	5M	SIB	Russia
4438	Skynet Airlines	SI	SIH	Ireland
4454	Sriwijaya Air	SJ	SJY	Indonesia
4455	Sama Airlines	ZS	SMY	Saudi Arabia
4464	Singapore Airlines Cargo	SQ	SQC	Singapore
4469	Siem Reap Airways	FT	SRH	Cambodia
4475	South East Asian Airlines	DG	SRQ	Philippines
4496	Skyservice Airlines	5G	SSV	Canada
4513	Servicios de Transportes A	FS	STU	Argentina
4521	Sudan Airways	SD	SUD	Sudan
4533	Saudi Arabian Airlines	SV	SVA	Saudi Arabia
4547	Southwest Airlines	WN	SWA	United States
4550	Southern Winds Airlines	A4	SWD	Argentina
4559	Swiss International Air Lines	LX	SWR	Switzerland
4560	Swissair	SR	SWR	Switzerland
4564	Swe Fly	WV	SWV	Sweden
4573	SunExpress	XQ	SXS	Turkey
4586	Syrian Arab Airlines	RB	SYR	Syrian Arab Republic
4589	Skywalk Airlines	AL	SYX	United States
4599	Shandong Airlines	SC	CDG	China
4607	Spring Airlines	9S	CQH	China
4608	Sichuan Airlines	3U	CSC	China
4609	Shanghai Airlines	FM	CSH	China
4611	Shenzhen Airlines	ZH	CSZ	China
4619	Sun D'Or	7L	ERO	Israel
4620	SkyEurope	NE	ESK	Slovakia
4652	Spanair	JK	JKK	Spain
4687	Spirit Airlines	NK	NKS	United States
4691	SATENA	9R	NSE	Colombia
4735	Santa Barbara Airlines	S3	BBR	Venezuela
4737	Sky Airline	H2	SKU	Chile
4738	SkyWest	OO	SKW	United States
4739	Skyways Express	JZ	SKX	Sweden
4740	Skymark Airlines	BC	SKY	Japan
4750	SilkAir	MI	SLK	Singapore
4752	Surinam Airways	PY	SLM	Suriname
4776	Sterling Airlines	NB	SNB	Denmark
4781	Skynet Asia Airways	6J	SNJ	Japan
4797	Solomon Airlines	IE	SOL	Solomon Islands
4805	Saratov Aviation Division	6W	SOV	Russia
4808	Sat Airlines	HZ	SOZ	Kazakhstan
4822	Shuttle America	S5	TCF	United States
4840	Scat Air	DV	VSV	Kazakhstan
4863	TAME	EQ	TAE	Ecuador
4867	TAM Brazilian Airlines	JJ	TAM	Brazil
4869	TAP Portugal	TP	TAP	Portugal
4870	Tunisair	TU	TAR	Tunisia
4889	Thai Air Cargo	T2	TCG	Thailand
4896	Thomas Cook Airlines	FQ	TCW	Belgium
4897	Thomas Cook Airlines	MT	TCX	United Kingdom
4936	Tiger Airways	TR	TGW	Singapore
4937	Tiger Airways Australia	TT	TGW	Australia
4940	Thai Airways International	TG	THA	Thailand
4947	Thai AirAsia	FD	AIQ	Thailand
4951	Turkish Airlines	TK	THY	Turkey
4965	Twin Jet	T7	TJT	France
4981	Trans Mediterranean Airlines	TL	TMA	Lebanon
5002	Tiara Air	3P	TNM	Aruba
5013	Thomsonfly	BY	TOM	United Kingdom
5016	Tropic Air	PM	TOS	Belize
5020	TAMPA	QT	TPA	Colombia
5038	TransAsia Airways	GE	TNA	Taiwan
5039	Transavia Holland	HV	TRA	Netherlands
5041	TACV	VR	TCV	Portugal
5064	Transwest Air	9T	ABS	Canada
5067	Transaero Airlines	UN	TSO	Russia
5083	Turkmenistan Airlines	T5	TUA	Turkmenistan
5085	Tuninter	UG	TUI	Tunisia
5097	Travel Service	QS	TVS	Czech Republic
5122	TUIfly Nordic	6B	BLX	Sweden
5133	TAAG Angola Airlines	DT	DTA	Angola
5156	TAM Mercosur	PZ	LAP	Paraguay
5160	Trans States Airlines	AX	LOF	United States
5179	Tarom	RO	ROT	Romania
5187	Turan Air	3T	URN	Azerbaijan
5188	TRIP Linhas A	8R	TIB	Brazil
5207	USA3000 Airlines	U5	GWY	United States
5209	United Airlines	UA	UAL	United States
5234	Ural Airlines	U6	SVR	Russia
5251	UM Airlines	UF	UKM	Ukraine
5265	US Airways	US	USA	United States
5271	UTair Aviation	UT	UTA	Russia
5281	Uzbekistan Airways	HY	UZB	Uzbekistan
5282	Ukraine International Airlines	PS	AUI	Ukraine
5297	Valuair	VF	VLU	Singapore
5309	Vietnam Airlines	VN	HVN	Vietnam
5311	VIM Airlines	NN	MOV	Russia
5325	Volaris	Y4	VOI	Mexico
5326	Volga-Dnepr Airlines	VI	VDA	Russia
5331	Virgin America	VX	VRD	United States
5333	Virgin Express	TV	VEX	Belgium
5335	Virgin Nigeria Airways	VK	VGN	Nigeria
5347	Virgin Atlantic Airways	VS	VIR	United Kingdom
5350	Viva Macau	ZG	VVM	Macao
